Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Refugees under UNHCR's mandate,Asylum-seekers,IDPs of concern to UNHCR,Other people in need of international protection,Stateless persons,Host Community,Others of concern,Total
2022,Chad,TCD,United Kingdom of Great Britain and Northern Ireland,GBR,167,405,0,0,0,0,0,572
2022,Yemen,YEM,United Kingdom of Great Britain and Northern Ireland,GBR,1647,938,0,0,0,0,0,2585
2022,Cuba,CUB,United Kingdom of Great Britain and Northern Ireland,GBR,16,34,0,0,0,0,0,50
2022,Barbados,BRB,United Kingdom of Great Britain and Northern Ireland,GBR,15,19,0,0,0,0,0,34
2022,Bhutan,BTN,United Kingdom of Great Britain and Northern Ireland,GBR,15,0,0,0,0,0,0,15
2022,Colombia,COL,United Kingdom of Great Britain and Northern Ireland,GBR,15,144,0,0,0,0,0,159
2022,Azerbaijan,AZE,United Kingdom of Great Britain and Northern Ireland,GBR,149,108,0,0,0,0,0,257
2022,Honduras,HND,United Kingdom of Great Britain and Northern Ireland,GBR,148,1658,0,0,0,0,0,1806
2022,Angola,AGO,United Kingdom of Great Britain and Northern Ireland,GBR,141,147,0,0,0,0,0,288
2022,Central African Rep.,CAF,United Kingdom of Great Britain and Northern Ireland,GBR,14,16,0,0,0,0,0,30
2022,North Macedonia,MKD,United Kingdom of Great Britain and Northern Ireland,GBR,14,18,0,0,0,0,0,32
2022,Burkina Faso,BFA,United Kingdom of Great Britain and Northern Ireland,GBR,13,33,0,0,0,0,0,46
2022,Mexico,MEX,United Kingdom of Great Britain and Northern Ireland,GBR,13,105,0,0,0,0,0,118
2022,Syrian Arab Rep.,SYR,United Kingdom of Great Britain and Northern Ireland,GBR,12682,7372,0,0,0,0,0,20054
2022,South Sudan,SSD,United Kingdom of Great Britain and Northern Ireland,GBR,125,240,0,0,0,0,0,365
2022,Israel,ISR,United Kingdom of Great Britain and Northern Ireland,GBR,121,36,0,0,0,0,0,157
2022,Jordan,JOR,United Kingdom of Great Britain and Northern Ireland,GBR,121,117,0,0,0,0,0,238
2022,South Africa,ZAF,United Kingdom of Great Britain and Northern Ireland,GBR,121,150,0,0,0,0,0,271
2022,United Rep. of Tanzania,TZA,United Kingdom of Great Britain and Northern Ireland,GBR,119,109,0,0,0,0,0,228
2022,Sudan,SDN,United Kingdom of Great Britain and Northern Ireland,GBR,11807,5369,0,0,0,0,0,17176
2022,El Salvador,SLV,United Kingdom of Great Britain and Northern Ireland,GBR,1168,2709,0,0,0,0,0,3877
2022,Afghanistan,AFG,United Kingdom of Great Britain and Northern Ireland,GBR,11265,13056,0,0,0,0,0,24321
2022,Benin,BEN,United Kingdom of Great Britain and Northern Ireland,GBR,11,34,0,0,0,0,0,45
